sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	span2	cutoff_time	back_signal	fit	linear_fit_fraction	intercept	deadtime	data_file
PE12_H141R	E12	2	5	20180904	0.003	1200	2200	600		exp	lin	0.15	3592	0	data/20180904_GEF_FRET_assay.txt
PE12_H141R	G9	2.25	5	20180904	0.005	2000	3500	675		exp	lin	0.15	6250	0	data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G9	2.5	5	20180904	0.0046	2500	3800	750		exp	lin	0.15	7030	0	data/20180904_GEF_FRET_assay4.txt
PE12_H141R	G10	2.75	5	20180904	0.008	2200	5000	825		exp	lin	0.15	8000	0	data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G10	3	5	20180904	0.0025	2900	4100	900		exp	lin	0.15	8730	0	data/20180904_GEF_FRET_assay4.txt
PE12_H141R	G11	3.25	5	20180904	0.003	2800	5000	975		exp	lin	0.1	8820	0	data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G11	3.5	5	20180904	0.0022	3400	4700	1050		exp	lin	0.1	10195	0	data/20180904_GEF_FRET_assay4.txt
PE12_H141R	G12	4	5	20180904	0.003	2868	7512	1200		exp	lin	0.1	10540	0	data/20180904_GEF_FRET_assay3.txt
PE12_H141R	G12	4.5	5	20180904	0.001	3400	7500	1350		exp	exp	0.1		0	data/20180904_GEF_FRET_assay4.txt
PE12_H141R	A9	5.5	5	20180904	0.001	4200	7800	1650		exp	lin	0.1	14300	0	data/20180904_GEF_FRET_assay6.txt
PE12_H141R	A10	6	5	20180904	0.001	4500	9000	1800		exp	lin	0.1	15930	0	data/20180904_GEF_FRET_assay5.txt
PE12_H141R	A11	7	5	20180904	0.001	5000	11000	2100		exp	lin	0.1	18570	0	data/20180904_GEF_FRET_assay5.txt
PE12_H141R	A10	9	5	20180904	0.001	6400	11100	2700		exp	lin	0.1	22400	0	data/20180904_GEF_FRET_assay6.txt
PE12_H141R	A11	10	5	20180904	0.001	6700	12000	3000		exp	lin	0.08	24400	0	data/20180904_GEF_FRET_assay6.txt
PE12_H141R	A12	12	5	20180904	0.001	7500	14600	3600		exp	lin	0.08	29490	0	data/20180904_GEF_FRET_assay6.txt
PE13_T34Q	G7	0.25	5	20181106	0.01	290	333	75		exp	exp	0.15		0	data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	C7	0.5	5	20181106	0.01	500	500	150		exp	exp	0.15		0	data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	G1	0.5	5	20190111	0.0099	89	76	55		exp	exp	0.1		0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	G8	0.75	5	20181106	0.009	930	860	225		exp	exp	0.15		0	data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	G2	0.75	5	20190111	0.0075	154	125	92		exp	exp	0.1		0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	G9	1	5	20181106	0.008	1300	1500	300		exp	exp	0.15		0	data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	G3	1	5	20190111	0.0068	199	158	110		exp	exp	0.1		0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	C8	1.5	5	20181106	0.007	1800	1700	450		exp	exp	0.15		0	data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	G10	1.5	5	20181106	0.007	1800	1700	450		exp	exp	0.15		0	data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	G4	1.5	5	20190111	0.0053	295	239	166		exp	exp	0.1		0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	A7	1.75	5	20181106	0.0064	1900	2000	525		exp	exp	0.15		0	data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	A8	2	5	20181106	0.0068	2200	2800	600		exp	exp	0.15		0	data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	C9	2	5	20181106	0.0055	2300	2100	600		exp	exp	0.15		0	data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	G5	2	5	20190111	0.0045	391	323	233		exp	exp	0.1		0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	G11	2.25	5	20181106	0.006	2800	2500	675		exp	exp	0.15		0	data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	A9	2.5	5	20181106	0.006	2700	3400	750		exp	exp	0.15		0	data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	A10	3	5	20181106	0.005	3000	4200	900	1100	exp	exp	0.15		0	data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	C10	3	5	20181106	0.005	3300	5300	900	1000	exp	exp	0.15		0	data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	G12	3.25	5	20181106	0.004	3500	3400	975		exp	exp	0.15		0	data/20181106_GEF_FRET_assay2.txt
PE13_T34Q	C11	3.5	5	20181106	0.004	3800	4500	1050		exp	exp	0.15		0	data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	A12	4	5	20181106	0.005	3600	4700	1200		exp	exp	0.15		0	data/20181106_GEF_FRET_assay3.txt
PE13_T34Q	C12	4.5	5	20181106	0.004	4600	6200	1350		exp	exp	0.15		0	data/20181106_GEF_FRET_assay4.txt
PE13_T34Q	G6	5	5	20190111	0.0024	953	895	621		exp	exp	0.1	2470	0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	G7	5.5	5	20181106	0.003	5100	6400	1650		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G8	7	5	20181106	0.0025	6400	9800	2100		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G7	7.5	5	20190111	0.0019	1331	1394	1034		exp	lin	0.1	3761	0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	G9	8	5	20181106	0.0025	6300	10000	2400		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G8	8	5	20190111	0.0018	1385	1483	1135		exp	lin	0.1	4020	0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	G10	9	5	20181106	0.0022	6800	12000	2700		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G9	9	5	20190111	0.0017	1536	1681	1358		exp	lin	0.1	4595	0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	G11	10	5	20181106	0.002	7000	13500	3000		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G10	10	5	20190111	0.0015	1621	1857	1504		exp	lin	0.1	5020	0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	G11	11	5	20190111	0.0015	1710	1937	1914		exp	lin	0.1	5580	0	data/20190111_GEF_FRET_assay2.txt
PE13_T34Q	G12	12	5	20181106	0.0016	8500	16000	3600		exp	exp	0.15		0	data/20181106_GEF_FRET_assay.txt
PE13_T34Q	G12	12	5	20190111	0.0014	1716	1935	2256		exp	lin	0.1	5965	0	data/20190111_GEF_FRET_assay2.txt
PE14_Y157A	C1	0.25	5	20180905	0.02	160	418.75	75		exp	exp	0.15		0	data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	C1	0.25	5	20181105	0.02	160	380	75		exp	exp	0.15		0	data/20181105_GEF_FRET_assay.txt
PE14_Y157A	G1	0.25	5	20181113	0.03	170	290	75		exp	exp	0.15		0	data/20181113_GEF_FRET_assay3.txt
PE14_Y157A	E1	0.5	5	20180905	0.01	390	900	150		exp	exp	0.15		0	data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	C2	0.5	5	20181105	0.015	750	1000	150	1250	exp	exp	0.15		0	data/20181105_GEF_FRET_assay.txt
PE14_Y157A	G2	0.5	5	20181113	0.013	380	700	150		exp	exp	0.15		0	data/20181113_GEF_FRET_assay3.txt
PE14_Y157A	A1	0.5	5	20190114	0.0176	178	288	150		exp	exp	0.1		0	data/20190114_GEF_FRET_assay5.txt
PE14_Y157A	C2	0.75	5	20180905	0.01	700	1000	225		exp	exp	0.15		0	data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	C3	0.75	5	20181105	0.01	780	1400	225		exp	exp	0.15		0	data/20181105_GEF_FRET_assay.txt
PE14_Y157A	G3	0.75	5	20181113	0.0096	710	860	225		exp	exp	0.15		0	data/20181113_GEF_FRET_assay3.txt
PE14_Y157A	A2	0.75	5	20190114	0.0094	467	612	285		exp	exp	0.1		0	data/20190114_GEF_FRET_assay5.txt
